name,style
"Pride of Mykenai",English
"Wall of Tiryns",English
"Lion of Pylos",English
"Return to Sparte",English
"Bearer of the Boar's Tusk",English
"Oath of the Shaft Graves",English
"Gift of the Earth-Shaker",English
"Favour of the Grey-Eyed",English
"Vessel of the Thunder",English
"Hand of the Wolf-God",English
"Dark Wave",English
"Wind Off Tenedos",English
"Bronze Wake",English
"Long Shadow at Dusk",English
"Keel of Cedar",English
"Cargo of the Amber Road",English
"Last at the Strait",English
"She Came Home Twice",English
