name,style
"Strength of Hattusa",English
"Gate of the Sphinxes",English
"Road from Nesa",English
"Watch Over Tarhuntassa",English
"Storm of Tarhunna",English
"Sun-Goddess of Arinna",English
"Iron Given by the God",English
"Oath Before the Thousand",English
"Mountain Wind",English
"Cold River Mouth",English
"Stone and Sea",English
"Bearer of Iron",English
"Tribute of the Vassal",English
"Timber for the North",English
"She Held the Treaty",English
"Return from Alasiya",English
"Last Ship of the Levy",English
"Silence Before the Muster",English
