name,style
"Glory of Waset",English
"Wall of Men-Nefer",English
"Star of Iunu",English
"She Who Sails to Abdju",English
"Barque of the Rising Sun",English
"Beloved of the Green One",English
"Breath of the Hidden One",English
"Eye of the Falcon",English
"Two Lands, One Keel",English
"Flood of Akhet",English
"Reed Wind",English
"Black Silt",English
"Lotus Before the Storm",English
"Bearer of Ivory",English
"Chest of Faience",English
"Grain for the Northern Ports",English
"She Passed the Cataract",English
"Returned Against the Wind",English
