name,style
"Crown of Ugarit",English
"Harbour of Gubla",English
"Purple of Sur",English
"Gate of Sidunu",English
"Blessing of the Storm-Lord",English
"Daughter of the Sea-God",English
"Vow to the Lady of Gubla",English
"Smoke of the High Place",English
"Bearer of Cedar",English
"Purple Keel",English
"Amphora Wind",English
"Weighed in Silver",English
"Salt on the Deck",English
"Wave Before Morning",English
"North Star Over Water",English
"Twelve Ports in One Season",English
"She Outran the Raiders",English
"Oath of the Harbour",English
