name,style
"Rider of the Hebros",English
"Gold of the Highlands",English
"Watch Above the Pass",English
"Horse of the North Shore",English
"Gift of the Horseman God",English
"Cup of the Winter Feast",English
"Blood on the Altar Stone",English
"Song of the Bare Hills",English
"Cold Wind Southward",English
"Pine and Black Water",English
"Snow on the Deck",English
"Bearer of Hides",English
"Gold Beyond Weighing",English
"Silver for the Chieftain",English
"She Took the Narrow Sea",English
"Came Back Without Her Crew",English
"Feast After the Crossing",English
"Oath Sworn in Mead",English
